pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
75,250,1,1,20,-84,50,58
75,251,1,1,20,-84,19,68
75,252,1,1,20,-84,-13,65
75,253,1,1,20,-84,-45,49
75,254,1,1,20,-84,-68,25
75,255,1,1,20,-84,-78,-2
76,360,1,2,20,-84,-30,-56
76,361,1,2,20,-84,-7,-65
76,362,1,2,20,-84,21,-65
76,363,1,2,20,-84,44,-55
76,364,1,2,20,-84,62,-33
76,365,1,2,20,-84,66,-7
76,366,1,2,20,-84,59,20
76,367,1,2,20,-84,39,44
76,376,1,0,20,-84,-47,-93
76,377,1,0,20,-84,2,-110
76,378,1,0,20,-84,44,-104
76,379,1,0,20,-84,81,-75
76,380,1,0,20,-84,102,-32
76,381,1,0,20,-84,105,21
76,382,1,0,20,-84,91,60
76,383,1,0,20,-84,62,87
77,72,1,1,20,-84,33,54
77,73,1,1,20,-84,8,63
77,74,1,1,20,-84,-21,62
77,75,1,1,20,-84,-43,49
77,76,1,1,20,-84,-59,25
77,77,1,1,20,-84,-64,0
77,78,1,1,20,-84,-59,-24
77,79,1,1,20,-84,-42,-46
77,88,1,2,20,-84,62,94
77,89,1,2,20,-84,15,110
77,90,1,2,20,-84,-34,106
77,91,1,2,20,-84,-80,77
77,92,1,2,20,-84,-106,37
77,93,1,2,20,-84,-111,-14
77,94,1,2,20,-84,-97,-56
77,95,1,2,20,-84,-66,-87
78,392,1,0,20,-84,2,-75
78,393,1,0,20,-84,32,-64
78,394,1,0,20,-84,60,-37
78,395,1,0,20,-84,74,-6
78,396,1,0,20,-84,74,25
78,397,1,0,20,-84,60,48
78,398,1,0,20,-84,36,65
78,399,1,0,20,-84,2,76
78,408,1,1,20,-84,44,-36
78,409,1,1,20,-84,57,-12
78,410,1,1,20,-84,59,12
78,411,1,1,20,-84,49,38
78,412,1,1,20,-84,33,54
78,413,1,1,20,-84,9,61
78,414,1,1,20,-84,-14,56
78,415,1,1,20,-84,-36,40
79,104,1,2,20,-84,-6,83
79,105,1,2,20,-84,-40,69
79,106,1,2,20,-84,-72,41
79,107,1,2,20,-84,-84,12
79,108,1,2,20,-84,-79,-22
79,109,1,2,20,-84,-59,-50
79,110,1,2,20,-84,-31,-72
79,111,1,2,20,-84,5,-81
79,120,1,0,20,-84,-50,32
79,121,1,0,20,-84,-62,7
79,122,1,0,20,-84,-61,-18
79,123,1,0,20,-84,-46,-46
79,124,1,0,20,-84,-23,-63
79,125,1,0,20,-84,6,-70
79,126,1,0,20,-84,27,-60
79,127,1,0,20,-84,44,-42
80,168,1,1,20,-84,-41,-50
80,169,1,1,20,-84,-15,-65
80,170,1,1,20,-84,19,-68
80,171,1,1,20,-84,45,-56
80,172,1,1,20,-84,64,-27
80,173,1,1,20,-84,70,2
80,174,1,1,20,-84,65,28
80,175,1,1,20,-84,47,50
80,184,1,2,20,-84,-49,-95
80,185,1,2,20,-84,-2,-107
80,186,1,2,20,-84,41,-100
80,187,1,2,20,-84,78,-75
80,188,1,2,20,-84,97,-38
80,189,1,2,20,-84,102,9
80,190,1,2,20,-84,91,49
80,191,1,2,20,-84,63,81
81,136,1,0,20,-84,-89,54
81,137,1,0,20,-84,-100,6
81,138,1,0,20,-84,-99,-48
81,139,1,0,20,-84,-82,-86
81,140,1,0,20,-84,-45,-109
81,141,1,0,20,-84,-1,-108
81,142,1,0,20,-84,42,-90
81,143,1,0,20,-84,79,-58
81,152,1,1,20,-84,-77,-11
81,153,1,1,20,-84,-62,-44
81,154,1,1,20,-84,-40,-65
81,155,1,1,20,-84,-8,-76
81,156,1,1,20,-84,24,-74
81,157,1,1,20,-84,54,-58
81,158,1,1,20,-84,70,-33
81,159,1,1,20,-84,73,-3
82,40,1,2,20,-84,96,-44
82,41,1,2,20,-84,107,-1
82,42,1,2,20,-84,96,47
82,43,1,2,20,-84,68,82
82,44,1,2,20,-84,23,105
82,45,1,2,20,-84,-19,110
82,46,1,2,20,-84,-55,98
82,47,1,2,20,-84,-87,67
82,56,1,0,20,-84,76,17
82,57,1,0,20,-84,64,46
82,58,1,0,20,-84,40,64
82,59,1,0,20,-84,6,74
82,60,1,0,20,-84,-26,71
82,61,1,0,20,-84,-57,52
82,62,1,0,20,-84,-74,25
82,63,1,0,20,-84,-79,-7
83,424,1,1,20,-84,90,-52
83,425,1,1,20,-84,105,-9
83,426,1,1,20,-84,99,41
83,427,1,1,20,-84,77,77
83,428,1,1,20,-84,36,101
83,429,1,1,20,-84,-8,103
83,430,1,1,20,-84,-50,86
83,431,1,1,20,-84,-88,48
83,440,1,2,20,-84,71,11
83,441,1,2,20,-84,59,46
83,442,1,2,20,-84,40,68
83,443,1,2,20,-84,12,80
83,444,1,2,20,-84,-19,76
83,445,1,2,20,-84,-52,57
83,446,1,2,20,-84,-71,31
83,447,1,2,20,-84,-77,-1
84,264,1,0,20,-84,26,53
84,265,1,0,20,-84,-1,61
84,266,1,0,20,-84,-29,59
84,267,1,0,20,-84,-47,48
84,268,1,0,20,-84,-58,26
84,269,1,0,20,-84,-62,3
84,270,1,0,20,-84,-58,-23
84,271,1,0,20,-84,-43,-45
84,280,1,1,20,-84,45,100
84,281,1,1,20,-84,1,103
84,282,1,1,20,-84,-40,87
84,283,1,1,20,-84,-80,55
84,284,1,1,20,-84,-102,19
84,285,1,1,20,-84,-109,-24
84,286,1,1,20,-84,-93,-59
84,287,1,1,20,-84,-61,-86
85,296,1,2,20,-84,-14,76
85,297,1,2,20,-84,-40,64
85,298,1,2,20,-84,-61,39
85,299,1,2,20,-84,-71,12
85,300,1,2,20,-84,-74,-20
85,301,1,2,20,-84,-66,-45
85,302,1,2,20,-84,-46,-66
85,303,1,2,20,-84,-12,-79
85,312,1,0,20,-84,-62,37
85,313,1,0,20,-84,-70,14
85,314,1,0,20,-84,-67,-14
85,315,1,0,20,-84,-49,-46
85,316,1,0,20,-84,-27,-66
85,317,1,0,20,-84,1,-74
85,318,1,0,20,-84,23,-66
85,319,1,0,20,-84,41,-49
106,456,1,2,20,-84,36,51
106,457,1,2,20,-84,12,63
106,458,1,2,20,-84,-18,63
106,459,1,2,20,-84,-41,51
106,460,1,2,20,-84,-60,28
106,461,1,2,20,-84,-67,3
106,462,1,2,20,-84,-62,-20
106,463,1,2,20,-84,-43,-44
106,472,1,0,20,-84,57,84
106,473,1,0,20,-84,7,98
106,474,1,0,20,-84,-39,93
106,475,1,0,20,-84,-83,71
106,476,1,0,20,-84,-107,41
106,477,1,0,20,-84,-116,-1
106,478,1,0,20,-84,-103,-43
106,479,1,0,20,-84,-73,-79
107,488,1,1,20,-84,-29,79
107,489,1,1,20,-84,-57,67
107,490,1,1,20,-84,-74,37
107,491,1,1,20,-84,-77,1
107,492,1,1,20,-84,-69,-38
107,493,1,1,20,-84,-54,-62
107,494,1,1,20,-84,-29,-74
107,495,1,1,20,-84,6,-71
107,504,1,2,20,-84,-57,33
107,505,1,2,20,-84,-61,2
107,506,1,2,20,-84,-56,-23
107,507,1,2,20,-84,-40,-44
107,508,1,2,20,-84,-20,-54
107,509,1,2,20,-84,4,-58
107,510,1,2,20,-84,24,-55
107,511,1,2,20,-84,42,-44
109,200,2,0,5,-80,10,103
109,201,2,0,5,-80,-36,95
109,202,2,0,5,-80,-71,74
109,203,2,0,5,-80,-99,37
109,204,2,0,5,-80,-112,-5
109,205,2,0,5,-80,-106,-53
109,206,2,0,5,-80,-77,-91
109,207,2,0,5,-80,-31,-107
109,216,2,1,5,-80,89,101
109,217,2,1,5,-80,32,132
109,218,2,1,5,-80,-26,135
109,219,2,1,5,-80,-86,111
109,220,2,1,5,-80,-125,71
109,221,2,1,5,-80,-146,10
109,222,2,1,5,-80,-134,-55
109,223,2,1,5,-80,-97,-106
110,136,2,2,5,-80,93,-5
110,137,2,2,5,-80,83,38
110,138,2,2,5,-80,58,75
110,139,2,2,5,-80,20,95
110,140,2,2,5,-80,-18,93
110,141,2,2,5,-80,-55,71
110,142,2,2,5,-80,-79,42
110,143,2,2,5,-80,-90,8
110,152,2,0,5,-80,108,22
110,153,2,0,5,-80,87,68
110,154,2,0,5,-80,50,99
110,155,2,0,5,-80,-1,115
110,156,2,0,5,-80,-46,109
110,157,2,0,5,-80,-88,79
110,158,2,0,5,-80,-111,37
110,159,2,0,5,-80,-115,-15
111,104,2,1,5,-80,23,-112
111,105,2,1,5,-80,63,-93
111,106,2,1,5,-80,97,-56
111,107,2,1,5,-80,114,-12
111,108,2,1,5,-80,111,32
111,109,2,1,5,-80,84,76
111,110,2,1,5,-80,44,104
111,111,2,1,5,-80,-8,114
111,120,2,2,5,-80,-63,-120
111,121,2,2,5,-80,-9,-136
111,122,2,2,5,-80,54,-129
111,123,2,2,5,-80,107,-95
